"celltype","group","n_cells"
"B","ypN+",4082
"B","ypN0",5376
"Macro","ypN+",2291
"Macro","ypN0",4880
"Mast","ypN+",351
"Mast","ypN0",1875
"NK","ypN+",1450
"NK","ypN0",1648
"Neutro","ypN+",2161
"Neutro","ypN0",2706
"Plasma","ypN+",601
"Plasma","ypN0",634
"Tcell","ypN+",30932
"Tcell","ypN0",21676
