"cluster","Tcell","CD8T","CD4T","NK","B","Plasma","Mono","Macro","DC","Mast","Neutro","n_cells"
"0",1.04078773922407,0.726247952114343,-0.201066181183505,0.634243691437726,-0.204954336174386,-0.0135822872439698,-0.370771258010778,-0.186558396415127,-0.0531673197500069,-0.0772229642342812,-0.393465994977331,14504
"1",-0.728651691855052,-0.729898592389651,-0.464919741564024,-0.409824998530539,1.62283471628797,-0.000284758448254613,-0.32998326098625,-0.134718009842956,-0.0337644299246448,-0.0758462714046102,-0.334487443124515,8942
"10",0.446459377607812,-0.1512679484536,-0.274237911530475,0.196903084319953,-0.172129336830043,-0.0262024741041173,-0.273017012944649,-0.0483333282899046,-0.0261135771954191,-0.0976510420688003,-0.346924565077115,1908
"11",-0.616771504826339,-0.705977952556583,-0.231842230499395,-0.333402108949856,-0.169407501739497,-0.034199067694433,-0.317096891646368,-0.0646656656176774,0.219033443892989,3.84279180447895,-0.239381689243787,1338
"12",-0.495485470108515,-0.583951644658733,-0.362424618850832,-0.306582400548966,0.673479395769533,1.56116444861516,-0.297009447336016,-0.139588137995518,-0.056431175733324,-0.00986374325198946,-0.0792821527124991,993
"13",-0.0270588735932285,-0.70742341781024,-0.0570888616400436,-0.379478928847602,-0.174331349027218,-0.0412643123860399,-0.394152334306954,-0.148690834556267,-0.0488374219440889,0.0450615884255889,-0.161964003734534,888
"14",0.757258400328716,-0.730702885938783,0.60717559195884,-0.377691281207528,-0.11511795501047,0.0242688262499677,-0.390555785903571,-0.193808995594643,-0.0638153700515885,-0.0655555006326669,-0.365483540932255,704
"15",0.620182052716275,-0.778075688236383,0.308204831971088,-0.417664146731018,-0.183915391086989,-0.053989787492797,-0.372187270239995,-0.158920078281051,-0.0497234885087254,-0.0126354213658481,-0.340267672123841,669
"16",0.300438951162149,-0.124301111935664,-0.258353686381904,1.21956315584429,-0.227546665704223,-0.01442700409778,-0.401386860531104,-0.212806669636742,-0.0384173964765063,-0.0807013677032258,-0.388261343869308,594
"17",-0.31912678773249,-0.49618308809296,-0.258255395270831,-0.248491640354971,-0.171034149233473,0.179396209970721,-0.276844459484811,-0.115044013676635,-0.0438938472997167,0.109327033656001,2.3098998877878,555
"18",-0.842604165216966,-0.885112269438169,-0.637420238145778,-0.521500006592438,2.16331989396866,0.140922244885775,-0.463347572441963,-0.276222917169543,-0.0879926354283632,-0.1444097278081,-0.413375433536916,516
"19",-0.787213249973505,-0.863820152494876,-0.115961233938875,-0.395633971144514,-0.2312626740812,0.431994447615054,-0.153696856219397,0.105765576836307,0.0806422764205807,-0.0907836344435353,-0.321839929695893,242
"2",0.881616177755497,-0.622100133486692,0.594765717808305,-0.365785233260377,-0.15472061270661,-0.0224621529220339,-0.386369866607331,-0.176693426170785,-0.0542173649187768,-0.0717405278729449,-0.38138496770099,8581
"20",0.626895682385423,-0.0010149119988375,0.196372052264507,0.151069777859786,-0.0533744450143668,-0.00947880107435642,-0.28484273178896,-0.100884478947917,-0.0241181279153287,0.394747925561194,-0.213581610247597,166
"3",0.637880388198116,0.126120246797283,0.287513245044707,0.146689991162743,-0.150076320526586,-0.0167203783023917,-0.30361829315953,-0.148617759058209,-0.0483534508731081,-0.0663745626837536,-0.304488298591416,8275
"4",-0.780850947003403,-0.832328111603596,0.0125755242003967,-0.455673737100632,-0.267068522913627,-0.0579388515911952,1.01541670492091,1.71415412330158,0.213708575145374,-0.00865214807335021,0.138340932842344,7171
"5",0.886021091435892,-0.036017199447749,0.438224643570558,-0.0582166439675475,-0.152278086328078,-0.0252329832573518,-0.361851851957281,-0.166292557819568,-0.0515819352601606,-0.0645795323282828,-0.365157633542873,6605
"6",1.00837488632009,0.696889482589994,-0.151369936496225,0.710178511471566,-0.193767415596103,-0.0151114521964844,-0.35225103068303,-0.176020871177102,-0.0500567425780101,-0.0612890412333101,-0.374425871042673,5983
"7",0.949411095856927,-0.8375307209074,0.399325654202162,-0.400912920497449,-0.14608457545964,0.0126426206928799,-0.473508539377406,-0.238795418253377,-0.0632134443589571,-0.110576715845751,-0.459354008901937,5213
"8",-0.677521502847758,-0.723720439402398,-0.270520887824576,-0.378243246358794,-0.208948797999231,-0.0366338893346482,0.724672166301569,0.258476828120872,0.225313470248334,-0.020677049547743,2.16751572333314,4312
"9",-0.071118651344188,-0.414792886701899,-0.372897451220267,1.48742541784413,-0.205274317755189,-0.0422583975934282,0.0538857954478529,-0.19155844790326,-0.039200732146674,-0.0342117027969428,-0.294137364944879,2504
