"celltype","n_cells","pct"
"Tcell",52608,65.2194934480493
"B",9458,11.7253263578097
"Macro",7171,8.89007351573832
"Neutro",4867,6.03374533553178
"NK",3098,3.84067044369785
"Mast",2226,2.75962956993913
"Plasma",1235,1.53106132923397
