"PC","stdev","var_ratio","cumvar"
1,13.1977175518261,0.319364228225043,0.319364228225043
2,6.15626564626091,0.0694901602795398,0.388854388504583
3,5.64306357259354,0.0583873138856738,0.447241702390257
4,4.99060372580861,0.0456661904077709,0.492907892798028
5,4.51167917135989,0.0373220102957948,0.530229903093822
6,4.45468407837904,0.0363850042223288,0.566614907316151
7,4.25954079437766,0.0332670410423666,0.599881948358518
8,3.67644304850208,0.02478245325264,0.624664401611158
9,3.60062680319116,0.0237708564996892,0.648435258110847
10,3.40869662748296,0.0213042039975768,0.669739462108424
11,3.27238223475079,0.0196343560718002,0.689373818180224
12,3.12977039624442,0.0179602991819751,0.707334117362199
13,3.01864019704252,0.0167074939306156,0.724041611292815
14,2.96809333217385,0.0161526475438804,0.740194258836695
15,2.73144295429809,0.0136795836585473,0.753873842495242
16,2.65719006239238,0.0129459477324212,0.766819790227664
17,2.5943638823328,0.012341001054954,0.779160791282618
18,2.52897836488806,0.0117267816349984,0.790887572917616
19,2.48086030012215,0.0112847834329238,0.80217235635054
20,2.45727375050354,0.0110712254060536,0.813243581756593
21,2.3603209090066,0.0102148199828337,0.823458401739427
22,2.26894554949254,0.00943923411308411,0.832897635852511
23,2.18042487845209,0.0087170767034323,0.841614712555943
24,2.14593666636308,0.00844349811750353,0.850058210673447
25,2.06750004829885,0.00783753813353481,0.857895748806982
26,2.02283735816322,0.00750257838481141,0.865398327191793
27,2.01495098643316,0.00744419229321633,0.872842519485009
28,1.99321902346904,0.00728448170815759,0.880127001193167
29,1.94963423974171,0.00696939207092854,0.887096393264096
30,1.93919433327322,0.00689495247328779,0.893991345737383
31,1.90580921403248,0.00665958942145224,0.900650935158836
32,1.85746218350949,0.0063259910247863,0.906976926183622
33,1.8393654406485,0.00620332671304432,0.913180252896666
34,1.82292394707262,0.00609292329077675,0.919273176187443
35,1.79186237246437,0.00588705251178514,0.925160228699228
36,1.74793353050514,0.00560193979588562,0.930762168495114
37,1.72466274307103,0.00545377194414298,0.936215940439257
38,1.71338188577675,0.0053826600534882,0.941598600492745
39,1.69294818293066,0.00525503897458779,0.946853639467333
40,1.68134708379476,0.00518326436631394,0.952036903833647
41,1.66063728844331,0.00505636225951318,0.95709326609316
42,1.65294734556827,0.00500964151106153,0.962102907604221
43,1.64621627761806,0.00496892444843141,0.967071832052653
44,1.63284657204948,0.00488854219181345,0.971960374244466
45,1.620090503806,0.0048124603344034,0.97677283457887
46,1.61157298931447,0.00476199099462185,0.981534825573492
47,1.59523761317599,0.00466594238998191,0.986200767963473
48,1.58997235754501,0.00463519231791339,0.990835960281387
49,1.5857707248885,0.0046107269331165,0.995446687214503
50,1.57586655073807,0.00455331278549663,1
