"cluster","n_cells","pct"
"0",16147,20.5652351113149
"1",10026,12.7693718477762
"10",2126,2.70772836109837
"11",2045,2.60456467471598
"12",1410,1.79581231850833
"13",1368,1.74232003668042
"14",1278,1.62769371847776
"15",739,0.941209435019614
"16",601,0.765449080442203
"17",517,0.658464516786388
"18",516,0.65719089102858
"19",466,0.593509603138214
"2",8808,11.2180956747669
"20",264,0.336237200061134
"21",236,0.300575678842529
"22",180,0.229252636405319
"3",7324,9.32803505018085
"4",5970,7.60354577410974
"5",4954,6.30954200417749
"6",4276,5.44602374038413
"7",4140,5.27281063732233
"8",2976,3.7903102552346
"9",2149,2.73702175352794
