"PC","stdev","var_ratio","cumvar"
1,10.3448194775934,0.2231921658735,0.2231921658735
2,7.98485013855344,0.132973975524218,0.356166141397718
3,5.17533112645632,0.0558610889652116,0.412027230362929
4,5.13328557408336,0.0549571199014393,0.466984350264369
5,4.56767406700004,0.0435134308662828,0.510497781130652
6,4.48916117836568,0.0420303988137854,0.552528179944437
7,4.17216672101159,0.0363041625518985,0.588832342496335
8,3.88175896118373,0.0314260822153625,0.620258424711698
9,3.83914458174199,0.0307398716361439,0.650998296347842
10,3.46488201037054,0.025038598382526,0.676036894730368
11,3.16849510977876,0.0209381928812035,0.696975087611571
12,3.09291391121729,0.0199511887667467,0.716926276378318
13,2.99319971114923,0.018685490517408,0.735611766895726
14,2.9249502558304,0.0178430906891737,0.7534548575849
15,2.6490324324349,0.0146355033929499,0.76809036097785
16,2.52788177144578,0.0133274367545403,0.78141779773239
17,2.46492271482971,0.0126718413728744,0.794089639105264
18,2.34172296741033,0.011436789948331,0.805526429053595
19,2.26107763087185,0.0106626231651832,0.816189052218779
20,2.18416514212017,0.00994956416979352,0.826138616388572
21,2.1089045024896,0.00927570529453483,0.835414321683107
22,2.1038356649086,0.00923116981192257,0.84464549149503
23,2.02210120671823,0.00852783699659422,0.853173328491624
24,1.94026881558838,0.00785157748814151,0.861024905979765
25,1.93122002329984,0.00777851377413743,0.868803419753903
26,1.87505260296824,0.00733263429674125,0.876136054050644
27,1.82586936463622,0.00695300461369411,0.883089058664338
28,1.81485912282989,0.00686940230651472,0.889958460970853
29,1.79028754588995,0.00668465033522847,0.896643111306081
30,1.77418211406703,0.00656492104443914,0.90320803235052
31,1.71236096860278,0.00611538429841208,0.909323416648932
32,1.68731415997803,0.00593779249013482,0.915261209139067
33,1.68250155921082,0.00590396894683799,0.921165178085905
34,1.63419001949678,0.00556978230916928,0.926734960395075
35,1.60774289421832,0.00539096250707283,0.932125922902147
36,1.60228404241139,0.00535441623398354,0.937480339136131
37,1.59102550397162,0.00527943438455472,0.942759773520686
38,1.58534024493183,0.00524177147428485,0.948001544994971
39,1.54873132305315,0.0050024790428152,0.953004024037786
40,1.53397680792139,0.00490761743879779,0.957911641476583
41,1.51123685929289,0.00476319310817535,0.962674834584759
42,1.49449851565151,0.00465826391433952,0.967333098499098
43,1.46381986959068,0.00446897977905983,0.971802078278158
44,1.44085770922533,0.0043298744423119,0.97613195272047
45,1.42912064301567,0.00425962040464395,0.980391573125114
46,1.41440248687201,0.00417233466727317,0.984563907792387
47,1.37762722048778,0.00395818915578385,0.988522096948171
48,1.36107974522523,0.00386367204866298,0.992385768996834
49,1.35273699335219,0.00381645237755727,0.996202221374391
50,1.3494234906192,0.00379777862560873,1
