"cluster","n_cells","top_hit","celltype"
"0",14504,"Tcell",
"1",8942,"B",
"10",1908,"Tcell",
"11",1338,"Mast",
"12",993,"Plasma",
"13",888,"Mast",
"14",704,"Tcell",
"15",669,"Tcell",
"16",594,"NK",
"17",555,"Neutro",
"18",516,"B",
"19",242,"Plasma",
"2",8581,"Tcell",
"20",166,"Tcell",
"3",8275,"Tcell",
"4",7171,"Macro",
"5",6605,"Tcell",
"6",5983,"Tcell",
"7",5213,"Tcell",
"8",4312,"Neutro",
"9",2504,"NK",
