"celltype","n_cells","pct"
"Tcell",3717,69.9473089951073
"B",879,16.5412118931125
"Macro",450,8.46819721490403
"Neutro",116,2.18291305984193
"NK",91,1.71245765901393
"Mast",39,0.733910425291682
"Plasma",22,0.414000752728641
