"cluster","Tcell","CD8T","CD4T","NK","B","Plasma","Mono","Macro","DC","Mast","Neutro","n_cells"
"0",0.810020759853756,0.503946253730186,-0.489941826829011,0.522883152028079,-0.0954884156023478,-0.0393836544068645,-0.558657523767078,-0.30112175246161,-0.0270708502174922,-0.0751926151829026,-0.101020473677314,1840
"1",-1.33497273255347,-1.3321014604401,-0.109272215587581,-0.724237013910492,-0.174435220626552,-0.114729235619867,1.17709121610994,1.76337466165058,0.125579291933891,-0.10502633867305,0.670969466466568,879
"10",-1.19814662573039,-1.17439332080124,-0.613685950658437,-0.598888224628073,-0.111415670315619,-0.0862728160622522,-0.532435347700168,-0.211682308216741,0.167514477501627,4.50371172922809,-0.136843933059298,89
"11",-1.36777935832215,-1.37007302790455,-0.11400036364876,-0.759274551865519,-0.122615786883423,-0.0804056000872998,0.206896450336994,-0.249912965928089,0.22531833322409,-0.0884412846369799,-0.254226024702735,39
"12",-1.23680105307466,-1.28686252629483,-0.178448335564894,-0.591141563823014,-0.14303582396852,1.18848257282146,-0.463023206677549,0.0851623522420746,-0.0140976093356717,-0.126877050285827,-0.243985908801619,22
"2",0.45451567173305,-0.996054674076582,0.53522569237372,-0.590238261111986,-0.0701904435306326,-0.0508505110441378,-0.516192597187679,-0.268512502099125,-0.0269062033957086,-0.0708229572589288,-0.0765554525673042,657
"3",0.50578419588031,-1.27492892171625,0.00412754414609717,-0.685685840503931,-0.00134552963147674,-0.0387135219425175,-0.567845961834075,-0.345985076490848,-0.0312108472698366,-0.0842950593972238,-0.153505503581512,517
"4",0.717794449114216,0.175153228134366,-0.369746054220871,0.543747649556884,-0.0598592670156008,-0.0370567455296639,-0.497289699990742,-0.280980224138727,-0.0268919175063048,-0.0774944879199639,-0.103243164340141,450
"5",0.53161617022762,-0.0603148220146945,-0.743892087327366,0.54157754490201,-0.108986417131225,-0.0635732490184451,-0.688615004107181,-0.426314297079918,-0.0439472915600284,-0.128067937052067,-0.290727307212143,218
"6",-1.19380988758933,-1.13363070334626,-0.635768093051497,-0.62767799048494,1.83453133136975,0.0948842578464822,-0.508671501688613,-0.216649672350512,-0.0135899641930456,-0.0790718407616717,-0.0597014065617684,206
"7",-0.202466525381809,-0.825424655664696,-0.289270943383282,1.40666500950675,-0.0697058622226455,-0.0553024987447138,-0.338595036766693,-0.311883552830442,-0.0144349124548376,-0.0757635418952843,-0.0879025385223772,190
"8",-0.622840127799058,-0.619531672835532,-0.355195231059263,-0.360902333810524,0.718637341758477,2.0698878286409,-0.300148962180103,-0.169385355708061,-0.0175528833253128,-0.0445041352467333,-0.0728583390412848,116
"9",-0.749139796814623,-0.827182110343024,-0.426468137137284,-0.38046004179726,-0.0935575362171138,0.0114929669358255,-0.479238257448075,-0.182987193919332,-0.0649887347950276,0.186185679889802,0.467310451075834,91
