"celltype","group","n_cells"
"B","ypN+",6812
"B","ypN0",5054
"Macro","ypN+",4095
"Macro","ypN0",2988
"Mast","ypN+",780
"Mast","ypN0",1907
"NK","ypN+",1635
"NK","ypN0",934
"Neutro","ypN+",1323
"Neutro","ypN0",1319
"Plasma","ypN+",576
"Plasma","ypN0",845
"Tcell","ypN+",26647
"Tcell","ypN0",23601
