"celltype","n_cells","pct"
"Tcell",50248,63.9971470783025
"B",11866,15.1128432421417
"Macro",7083,9.02109124254929
"Mast",2687,3.42223241122828
"Neutro",2642,3.36491925212695
"NK",2569,3.27194457180702
"Plasma",1421,1.80982220184421
