"cluster","Tcell","CD8T","CD4T","NK","B","Plasma","Mono","Macro","DC","Mast","Neutro","n_cells"
"0",1.02901048746196,0.20947497771262,0.0649695786301782,0.198870987124156,-0.195919365560455,-0.0156987299551137,-0.18992025049234,-0.184311494007165,-0.0485218797638689,-0.0848885300799591,-0.146907495227667,14224
"1",0.98286415914964,0.707612721910194,-0.213351919795701,0.716629271670404,-0.204573984042949,-0.00909442379767097,-0.185684933902284,-0.185167909520574,-0.0442387050612234,-0.076576743604371,-0.153633219930185,11649
"10",0.982783018140709,-0.828119186637267,0.260203932622393,-0.470095289015503,-0.127639765351414,0.0102246539402566,-0.222700432571053,-0.203455444141783,-0.0499873556757535,-0.0948079371228288,-0.174848928723971,1751
"11",-0.77501225944802,-0.789270982273249,0.0151232134327557,-0.413323468144834,-0.233677124595922,-0.0388735641649278,0.878682972637825,0.797570323638486,0.466871156004438,-0.000390648116010208,0.0889486639796635,1434
"12",0.495242519112938,-0.770677199271086,0.310800839028171,-0.426076549291726,-0.139595128358167,-0.0470226434425425,-0.21545113753196,-0.208723924176674,-0.0601278439874422,-0.0114131846647318,-0.0898633010219242,1354
"13",-0.601792745049357,-0.63364109300787,-0.195013298625808,-0.297689517534248,-0.171895597957757,-0.0353294886828583,-0.129558867337686,-0.0691149110245355,0.231476720751253,3.77065394775431,-0.0792829830988503,1253
"14",-0.54562217994975,-0.614620531127308,-0.380034921796816,-0.322667093771783,0.671398056982222,1.61839363994521,-0.183310841689945,-0.156278427221279,-0.0574081282643821,-0.0528557358552359,-0.102283515197196,745
"15",-0.582286473620575,-0.640680375660163,-0.310273851894221,-0.37414053302534,-0.184606557167515,-0.0365144594669298,-0.109699297435924,-0.0850301548932416,-0.0414415430968775,0.199062011292604,0.0193906197460657,606
"16",-0.876204641979304,-0.90085178637104,-0.62380366975783,-0.523429633818206,2.22411254427021,0.161615197716469,-0.285267101211604,-0.268970010329699,-0.0846446589273602,-0.146121544768004,-0.23157883439272,514
"17",-0.81626618591954,-0.88305648926697,-0.0977915786704828,-0.407258502122986,-0.272034701211984,0.452152772233429,0.0140081422220067,0.0881833419516537,0.0926349901582946,-0.0878106112176871,-0.147073114786702,238
"18",-0.182043298666259,-0.496101258001653,-0.279810678612835,-0.138307069704898,-0.143368476110813,0.109136353331052,-0.149084895867554,-0.12413224000268,-0.0554005563814303,0.121406872828647,2.24566390847667,217
"19",0.086063702065906,-0.305217742868278,0.0334821668044464,-0.0936395993436862,-0.114337145920743,-0.0248114224358936,0.198609761288256,0.0623602987844522,-0.0155933059906336,0.260342161531136,-0.014336826774233,67
"2",0.701999956119438,0.246886785253835,0.236947612278616,0.245075694904261,-0.161599195499729,-0.0183626853314583,-0.154742090121377,-0.153632538054523,-0.041218057442671,-0.0529195180380477,-0.115692942711053,9488
"3",-0.764307212150007,-0.759605405639161,-0.467094259288229,-0.425223798722649,1.65306767393388,0.00503887711528278,-0.181457821308667,-0.148060406690012,-0.0368454504089621,-0.0797283246139941,-0.149159553381566,8767
"4",0.825241876521209,-0.39896546077189,0.690571859320275,-0.271199550994552,-0.158446267936977,-0.0259312032831195,-0.177845527527917,-0.163125936139986,-0.0457731268961815,-0.0692610961040132,-0.126392844597293,7083
"5",0.903638996107858,-0.81708824792218,0.467630568627299,-0.440130759959594,-0.112413534704674,0.0330254068466345,-0.237704275788825,-0.223131523184983,-0.0496253119256259,-0.094801102447255,-0.180772670915452,5413
"6",-0.749277418808131,-0.746890442395036,0.0837772538899341,-0.415187626652198,-0.281197228569597,-0.0464199730455958,1.28102975094529,2.02990282591092,0.119130431939875,-0.0021066025984003,0.340352793927284,4820
"7",-0.650836415078047,-0.656333724247692,-0.23115558296088,-0.343182379189556,-0.212605932235831,-0.0286370754430223,0.889012922551922,0.291271770086486,0.23278299136578,-0.0230632743126149,2.24107648582478,4434
"8",0.132329704534885,-0.311550537186279,-0.406577543110458,1.97601296825164,-0.213507153360863,-0.0251901664835034,0.359479663532586,-0.186389920219781,-0.0277655812723818,-0.0629955970418004,-0.150508698189934,2404
"9",0.462774430703778,-0.165845933383024,-0.280288223297153,0.173942171433802,-0.157478449850826,0.0251084946665257,-0.083978244325362,-0.0652434557833417,-0.0293807323792843,-0.0962818054902932,-0.10443001949893,2055
