"PC","stdev","var_ratio","cumvar"
1,10.0872504452414,0.207717183969775,0.207717183969775
2,8.09849953343444,0.133886239032292,0.341603423002067
3,5.569611475184,0.0633252073500754,0.404928630352143
4,5.0592715049801,0.0522519847954953,0.457180615147638
5,4.91688142881724,0.0493521741517545,0.506532789299393
6,4.539146739815,0.042060580702358,0.548593370001751
7,4.35285243945319,0.0386789529349643,0.587272322936715
8,4.0492302941367,0.0334712378337104,0.620743560770425
9,3.80201609966305,0.0295090156122741,0.650252576382699
10,3.5748786158654,0.0260885186061742,0.676341094988874
11,3.11574454151563,0.0198175747395021,0.696158669728376
12,3.03427602201872,0.0187947688713618,0.714953438599737
13,2.94100876107367,0.0176571032084411,0.732610541808179
14,2.88802473640363,0.0170266275638087,0.749637169371987
15,2.84716335802537,0.0165482316103381,0.766185400982325
16,2.54771908395637,0.0132504277838063,0.779435828766132
17,2.46680800956275,0.012422171443149,0.791858000209281
18,2.4420709581372,0.0121742825459946,0.804032282755275
19,2.37330888485073,0.0114983453708103,0.815530628126086
20,2.27703872207,0.0105844342916834,0.826115062417769
21,2.17163938138316,0.00962724970743586,0.835742312125205
22,2.08433713427107,0.00886875690450961,0.844611069029715
23,2.05199908700184,0.00859569793706686,0.853206766966781
24,1.99893026130541,0.00815684302319652,0.861363609989978
25,1.92696030410561,0.00758005497467778,0.868943664964656
26,1.89643431711634,0.00734179798038563,0.876285462945041
27,1.8573148651637,0.00704203028330923,0.883327493228351
28,1.82661958027072,0.00681119064717987,0.89013868387553
29,1.81590378036489,0.00673150983351154,0.896870193709042
30,1.75969371801663,0.00632122117616817,0.90319141488521
31,1.74915425283077,0.00624572760941307,0.909437142494623
32,1.74193256311923,0.0061942609129752,0.915631403407598
33,1.67404359177955,0.00572084715188765,0.921352250559486
34,1.66166479929111,0.00563655382804817,0.926988804387534
35,1.65188917949104,0.00557042890628834,0.932559233293823
36,1.6226119042835,0.00537472359479582,0.937933956888618
37,1.61195145447196,0.00530433245273468,0.943238289341353
38,1.5791541058684,0.00509068056926561,0.948328969910619
39,1.5608612854872,0.00497342343770155,0.95330239334832
40,1.53586135600794,0.00481538311343711,0.958117776461757
41,1.53103100079375,0.0047851415373564,0.962902917999114
42,1.4854659842131,0.00450455860656742,0.967407476605681
43,1.47487788311023,0.00444057229750443,0.971848048903186
44,1.45441487565527,0.00431820677766284,0.976166255680848
45,1.44855607383572,0.00428348688957801,0.980449742570426
46,1.42266790045047,0.00413174855982265,0.984581491130249
47,1.39570071347506,0.00397659553062149,0.988558086660871
48,1.38561449617863,0.00391932840964543,0.992477415070516
49,1.36671699134665,0.00381315102521713,0.996290566095733
50,1.34800160417415,0.00370943390426683,1
